"","SRR11902288","SRR11902289","SRR11902290","SRR11902202","SRR11902204","SRR11902205"
"Dpagt1",723.1065931,747.9640768,959.06000534,862.75998804,823.48001336,620.11149094
"Dpcd",1808.81541006,1831.26280314,1760.43862064,1934.52044662,1732.6681898,1636.47219778
"Dpep1",0,0,0,0,0,0
"Dpep2",6.23331574,4.9044263,0,6.1200045,0,2.03999532
"Dpep2nb",4.08000628,0,0,0,0,1.45266934
"Dpep3",0,0,0,0,0,0
"Dpf1",754.80134792,623.40669424,2634.55987288,2521.95659288,1133.13590666,1857.58360832
"Dpf2",3256.00725628,3617.04004848,3955.95996642,3798.87711016,3421.26992842,2996.75993314
"Dpf3",147.09999392,177.55999994,218.7600019,150.3400229,125.08002404,193.8999662
"Dph1",84.7951249,186.43464972,40.03468562,82.625695,145.29144654,5.3264472
"Dph2",695.47998576,561.81996458,861.50001042,790.41999546,714.42001512,573.65999358
"Dph3",1948.84656212,2092.90345972,2055.15462454,2311.03543338,2004.77533524,2057.72967922
"Dph3b-ps",0,0,0,0,0,0
"Dph5",508.39060184,592.53998178,617.64939288,565.58212654,556.85999222,545.439959
"Dph6",1470.06000232,1633.8399659,1579.04005556,1777.52001198,1792.28884552,1560.11992156
"Dph7",512.33954474,470.46638582,406.82830918,1257.68978266,694.20077978,534.0462353
"Dpm1",2134.0722085,1707.4188796,1968.10449452,2002.46250288,1764.87855854,1871.3167942
"Dpm2",1413.92330086,1582.18633304,1719.19415926,2255.80571028,1748.59381082,1142.2023289
"Dpm3",144.64374052,120.8857735,461.45612022,415.40371602,291.95427534,144.99416684
"Dpp10",12755.0074664,12347.93904372,12811.37901856,15062.6768753,14044.9397828,14199.65699646
"Dpp3",2096.99003296,2109.42672126,3001.0333283,2846.45996198,2364.90009884,2011.49996908
"Dpp4",82.18569992,263.38395824,140.08970596,108.4971326,99.23356148,441.4789104
"Dpp6",12619.0164431,16569.4834389,17671.08009506,17131.6762434,14809.53003428,12530.35653266
"Dpp7",1223.49018672,1410.83148068,1564.11585082,1649.18798064,1372.06290154,1408.09376718
"Dpp8",3089.48270592,5781.6872814,7812.05997832,18649.84024362,4471.82275668,2970.15559664
"Dpp9",698.96340536,544.337396,2007.39172568,765.82140964,650.51489448,664.16189184
"Dppa1",0,0,0,0,0,14.7999915
"Dppa2",0,0,0,0,0,0
"Dppa3",0,0,0,0,0,0
"Dppa3-ps",0,0,0,0,0,0
"Dppa4",0,0,0,0,0,0
"Dppa5a",0,0,0,5.1000029,0,0
"Dppa5b",0,0,0,0,0,0
"Dppa5c",0,0,0,0,0,0
"Dpt",10.6800076,4.3999928,15.1999908,8.14000392,6.82000608,0
"Dpy19l1",9501.99990582,10583.4530988,10767.19649998,9980.4135443,10220.68664414,9547.8598131
"Dpy19l2",13.77997816,0,0,17.99002604,20.38001316,0
"Dpy19l3",3039.71098726,4651.37135578,4234.1862959,3649.86178628,3416.72243442,2386.14174758
"Dpy19l4",2641.25999898,3037.98009288,3105.77994218,3059.1000412,3257.72002122,3108.48992192
"Dpy30",871.40005252,1163.01002562,1074.36008888,1209.17001062,1019.49001974,1007.36000604
"Dpyd",182.3000114,281.4799982,352.20001364,303.9800453,253.92003484,207.35999848
"Dpys",25.20000468,0,17.55999144,20.37998574,24.840018,0
"Dpysl2",8470.8082424,9500.704164,10441.2788288,9656.4060504,8335.8971808,8303.6794344
"Dpysl3",2043.94917112,2777.21875104,3029.3285508,2562.09839624,2224.59317838,2096.04832244
"Dpysl4",3035.5237101,2605.09502756,2744.00776548,3998.71324804,2769.96750534,2667.1546122
"Dpysl5",1429.22006112,1841.90006832,2393.29005218,1847.38000848,1646.92998868,1221.27000272
"DQ267100",0.1766037,0.1896349,0.4089267,0.1376648,0.1726634,0.1740011
"DQ267101",0.0001044,0.0084042,0.0100398,0.0253431,0.0036453,0.0035496
"DQ267102",0.07711744,0.04110154,0.03279972,0.04379498,0.09140862,0.02019194
"Dqx1",43.39998098,65.08000606,61.14001316,49.05999558,28.9000124,38.56001384
"Dr1",2791.37995818,3277.90008088,3079.1799637,3103.80008334,3006.9800104,2625.04005112
"Dram1",97.45999362,142.6180012,121.89998022,130.97998668,123.22002246,92.29999896
"Dram2",862.16971758,1127.63098742,894.4054535,257.44007374,737.88267684,729.57451784
"Drap1",4524.69329132,4414.16013768,6125.80980404,6098.64204526,4866.85422528,4316.02649996
"Draxin",0,38.359984,40.880008,0,16.199976,22.080032
"Drc1",986.43999786,1026.29997508,1129.51321492,913.24666024,825.23870372,357.57078652
"Drc3",1098.81376916,1187.10001058,1282.49848942,1307.94459442,1210.7770414,1194.54640024
"Drc7",0,0,0,125.23847616,0,0
"Drd1",1974.1999578,5951.22004836,5249.00008986,5388.27975972,4061.04001824,1829.21997132
"Drd2",778.3550091,3461.66202922,2544.37803614,3035.6588941,2317.6466326,1121.98000588
"Drd3",6.02000832,18.09998304,38.0599856,4.08000416,8.70000736,9.44000224
"Drd4",8.13999984,5.88002724,0,11.11997916,13.23999774,14.27999418
"Drd5",188.21934752,163.31318912,222.73998848,217.84001536,191.75879136,188.26000832
"Dreg1",0,0,0,0,0,0
"Dreh",0,0,0,0,0,0
"Drg1",3921.44007068,4520.35904892,4669.28031402,5134.2199671,4712.2401207,4228.7200035
"Drg2",2547.07997494,2860.30000892,3460.00004116,3429.7800142,2895.95997314,2618.62000496
"Drosha",7888.3733692,8677.9651497,9351.48227038,9370.44359454,8253.70015186,7292.53985216
"Drp2",8280.14556022,8255.50001912,8530.34268372,6510.7691561,9402.47294244,9502.8597068
"Drr1",0,0,0,0,0,0
"Dsc1",0,0,0,0,0,0
"Dsc2",36.0000094,58.34006914,57.3599588,62.3199852,64.84003864,42.1400376
"Dsc3",0,0,34.1200007,22.42003866,0,8.1600233
"Dscam",2398.51962,1944.37641446,2737.83658166,2296.4784887,2695.78816736,2225.04270652
"Dscaml1",2375.82412698,1901.08392224,3759.47199302,3399.17326944,2578.11184742,1548.80842766
"Dscc1",0,0,22.839985,16.95996088,0,25.16003212
"Dse",359.16003354,466.99995804,497.90002202,385.72003014,417.27996156,364.18000188
"Dsel",692.51662418,953.78166406,948.4054991,1318.26316032,754.7258329,1066.23922972
"Dsg1a",0,0,0,0,0,0
"Dsg1b",0,0,0,0,0,0
"Dsg1c",0,37.19066176,77.01334144,62.52326192,21.18998448,37.27667328
"Dsg2",155.47995936,153.61996308,257.31951264,166.83990192,178.29348432,157.40361228
"Dsg3",0,0,0,0,0,0
"Dsg4",0,0,0,0,0,0
"Dsn1",224.00001338,220.30004158,258.56001622,334.87999436,290.8799767,270.97331214
"Dsp",0,0,30.60001472,0,0,0
"Dspp",0,0,24.42003858,0,0,0
"Dst",4009.30542118,4794.52971242,4271.2321967,27377.97514174,13816.90835038,1686.59745758
"Dstn",8647.70436348,9929.81001012,9987.90001482,10243.44187776,9544.72000482,9416.9675145
"Dstyk",4612.96917876,4008.04187144,5843.42852464,5151.95711638,5054.89317586,4317.94173614
"Dtd1",2090.83998172,2094.18004092,2826.84001742,2982.539988,2338.99999136,2076.840005
"Dtd2",369.05178608,254.79158496,433.7124988,370.03052832,324.36406568,423.1995384
"Dthd1",0,0,8.05997304,0,0,0
"Dtl",787.38006248,951.53998028,914.23997326,683.00002196,828.7000041,609.96001784
"Dtna",532.96022898,1420.52409364,1399.64078928,1253.46458368,879.08108464,605.69169628
"Dtnb",1250.13296462,1017.49533136,1102.09883528,1493.33166084,1079.16171422,1635.02202442
"Dtnbos",20.6599896,57.98000016,53.27999712,75.70001148,69.45999924,89.9800152
"Dtnbp1",2192.51118254,2333.4438123,2516.93467868,3062.07807192,2640.86888236,1967.15373656
"Dtwd1",378.58001658,423.11997664,433.80000296,522.7000072,407.00001406,462.9400294
