"","gene_id","gene_name"
"5033","ENSMUSG00000120557.1","ENSMUSG00000120557"
"5034","ENSMUSG00000091994.3","E130317F20Rik"
"5035","ENSMUSG00000006498.17","Ptbp1"
"5036","ENSMUSG00000035835.15","Plppr3"
"5037","ENSMUSG00000098562.3","Mir6910"
"5038","ENSMUSG00000090860.2","Gm17134"
"5039","ENSMUSG00000057729.13","Prtn3"
"5040","ENSMUSG00000020125.8","Elane"
"5041","ENSMUSG00000111897.2","Gm19810"
"5042","ENSMUSG00000061780.7","Cfd"
"5043","ENSMUSG00000013833.16","Med16"
"5044","ENSMUSG00000119877.1","Gm24019"
"5045","ENSMUSG00000035781.15","R3hdm4"
"5046","ENSMUSG00000097854.2","Gm26602"
"5047","ENSMUSG00000035773.7","Kiss1r"
"5048","ENSMUSG00000019564.13","Arid3a"
"5049","ENSMUSG00000035754.9","Wdr18"
"5050","ENSMUSG00000035745.10","Grin3b"
"5051","ENSMUSG00000013858.15","Tmem259"
"5052","ENSMUSG00000118738.1","Gm26243"
"5053","ENSMUSG00000004665.11","Cnn2"
"5054","ENSMUSG00000035722.16","Abca7"
"5055","ENSMUSG00000035697.15","Arhgap45"
"5056","ENSMUSG00000004667.19","Polr2e"
"5057","ENSMUSG00000075706.12","Gpx4"
"5058","ENSMUSG00000035673.11","Sbno2"
"5059","ENSMUSG00000003068.18","Stk11"
"5060","ENSMUSG00000035640.19","Cbarp"
"5061","ENSMUSG00000003072.16","Atp5d"
"5062","ENSMUSG00000035621.14","Midn"
"5063","ENSMUSG00000120057.1","ENSMUSG00000120057"
"5064","ENSMUSG00000045193.14","Cirbp"
"5065","ENSMUSG00000035595.7","Fam174c"
"5066","ENSMUSG00000003070.7","Efna2"
"5067","ENSMUSG00000020156.17","Pwwp3a"
"5068","ENSMUSG00000020153.15","Ndufs7"
"5069","ENSMUSG00000020150.14","Gamt"
"5070","ENSMUSG00000069565.13","Dazap1"
"5071","ENSMUSG00000098672.3","Mir6911"
"5072","ENSMUSG00000087672.2","Gm15122"
"5073","ENSMUSG00000063457.15","Rps15"
"5074","ENSMUSG00000020135.14","Apc2"
"5075","ENSMUSG00000020133.9","2310011J03Rik"
"5076","ENSMUSG00000020131.15","Pcsk4"
"5077","ENSMUSG00000035504.17","Reep6"
"5078","ENSMUSG00000043822.19","Adamtsl5"
"5079","ENSMUSG00000035486.15","Plk5"
"5080","ENSMUSG00000087432.2","Gm15123"
"5081","ENSMUSG00000085712.2","Gm15124"
"5082","ENSMUSG00000112648.2","Gm47793"
"5083","ENSMUSG00000048696.12","Mex3d"
"5084","ENSMUSG00002076295.1","Gm56208"
"5085","ENSMUSG00000035478.15","Mbd3"
"5086","ENSMUSG00000120873.1","ENSMUSG00000120873"
"5087","ENSMUSG00000020163.13","Uqcr11"
"5088","ENSMUSG00000020167.15","Tcf3"
"5089","ENSMUSG00002076504.1","Gm56224"
"5090","ENSMUSG00000045518.9","Onecut3"
"5091","ENSMUSG00000104429.2","2610034O05Rik"
"5092","ENSMUSG00000003341.10","Atp8b3"
"5093","ENSMUSG00000047417.19","Rexo1"
"5094","ENSMUSG00000035397.9","Klf16"
"5095","ENSMUSG00000003346.15","Abhd17a"
"5096","ENSMUSG00000100201.2","Gm29093"
"5097","ENSMUSG00000113949.2","Scamp4"
"5098","ENSMUSG00000113640.2","Adat3"
"5099","ENSMUSG00000035370.10","Gm49322"
"5100","ENSMUSG00000099283.3","Mir6912"
"5101","ENSMUSG00000003345.17","Csnk1g2"
"5102","ENSMUSG00000003344.16","Btbd2"
"5103","ENSMUSG00000020190.14","Mknk2"
"5104","ENSMUSG00000003348.11","Mob3a"
"5105","ENSMUSG00000055862.8","Izumo4"
"5106","ENSMUSG00000020198.9","Ap3d1"
"5107","ENSMUSG00000061589.15","Dot1l"
"5108","ENSMUSG00000075558.4","Gm17151"
"5109","ENSMUSG00000035278.10","Plekhj1"
"5110","ENSMUSG00000020211.16","Sf3a2"
"5111","ENSMUSG00000035262.6","Amh"
"5112","ENSMUSG00000020216.14","Jsrp1"
"5113","ENSMUSG00000035242.16","Oaz1"
"5114","ENSMUSG00000087993.3","Mir1982"
"5115","ENSMUSG00000051067.9","Lingo3"
"5116","ENSMUSG00000035215.10","Lsm7"
"5117","ENSMUSG00000035206.11","Sppl2b"
"5118","ENSMUSG00000059406.9","Tmprss9"
"5119","ENSMUSG00000020219.8","Timm13"
"5120","ENSMUSG00000062075.14","Lmnb2"
"5121","ENSMUSG00000015312.10","Gadd45b"
"5122","ENSMUSG00000048240.16","Gng7"
"5123","ENSMUSG00000083808.2","Gm3828"
"5124","ENSMUSG00000043670.5","Diras1"
"5125","ENSMUSG00000087114.2","Gm16099"
"5126","ENSMUSG00000046822.15","Slc39a3"
"5127","ENSMUSG00000004937.7","Sgta"
"5128","ENSMUSG00000004929.13","Thop1"
"5129","ENSMUSG00000035041.9","Creb3l3"
"5130","ENSMUSG00000106347.3","Mir5615-1"
"5131","ENSMUSG00000093498.3","Mir5615-2"
"5132","ENSMUSG00000035027.19","Map2k2"
"5133","ENSMUSG00000035011.16","Zbtb7a"
"5134","ENSMUSG00000004934.15","Pias4"
"5135","ENSMUSG00000034994.11","Eef2"
"5136","ENSMUSG00000064441.3","Snord37"
